claim_id,claim_text
CLM001,"Was driving home last night, heavy rain, car skidded and hit the divider. Front bumper damaged badly, airbags deployed. Driver safe."
CLM002,"House flooded due to burst pipe in the basement. Water damage to furniture, carpet, and electronics. Happened around 3 AM."
CLM003,"Laptop and camera stolen from my car while parked at the shopping mall. Driver side window was smashed to gain entry."
CLM004,"Kitchen fire started from unattended stove. Smoke damage throughout the house. Fire department responded quickly, no injuries."
CLM005,"Rear-ended at traffic signal by another vehicle. Moderate damage to back bumper and trunk. Neck pain, visited ER for checkup."
CLM006,"Tree fell on my car during the storm last week. Windshield completely shattered, roof dented. Car is not drivable."
CLM007,"Slipped and fell in the office cafeteria due to wet floor. Injured my wrist and lower back. No warning sign was present."
CLM008,"Bike was stolen from the parking garage. Chain was cut. Filed police report. Bike worth approximately 800 dollars."
CLM009,"Water heater exploded causing significant water damage to the laundry room and adjacent bedroom. Walls and flooring need replacement."
CLM010,"Hit a deer on highway while driving to work early morning. Front grill damaged, headlight broken. Deer ran away after impact."
CLM011,"Medical emergency - chest pain and difficulty breathing. Ambulance called, admitted to hospital for 3 days. Diagnosed with heart condition."
CLM012,"Smartphone dropped and screen completely cracked. Touch functionality not working. Phone is less than 6 months old."
CLM013,"Side-swiped by delivery truck while parked on street. Passenger side mirror broken, door scratched and dented. No note left by driver."
CLM014,"Apartment broken into while on vacation. TV, gaming console, jewelry stolen. Door lock was forced open. Police report filed."
CLM015,"Hailstorm caused damage to roof shingles and dented the car parked in driveway. Multiple leaks in ceiling noticed after rain."
CLM016,"Dental emergency - severe tooth pain. Root canal procedure required. Dentist visit and treatment cost over 1500 dollars."
CLM017,"Electric short circuit caused small fire in garage. Tools and storage items damaged. Electrician says faulty wiring was the cause."
CLM018,"Collision at intersection - other driver ran red light and hit my vehicle on driver side. Door won't open, frame bent. Two witnesses present."
CLM019,"Prescription glasses broken when stepped on accidentally. Need replacement immediately for work. Have valid prescription from last month."
CLM020,"Washing machine overflowed causing water to seep into downstairs neighbor's unit. Their ceiling has water stains and damage."
